id;parent_id;level;userName;userDisplay;likes;text;date;Duygu;Alt Duygu
1974405438943961558;null;0;muhendisyenn;Orijinal Yazar;899;Ayşenur Halil ve #ikbalUzuner, 19 yaşında iki öğrenci olan Ayşenur Halil ve İkbal Uzuner'in 4 Ekim 2024 tarihinde İstanbul'un Eyüpsultan ve Fatih ilçelerinde Semih Çelik tarafından katledildi. Ayşenur ve ikbal yaşasaydı bugün 20. Yaşında olacaklardı. Allah rahmet eylesin..;04 Ekim 2025 09:25;Nötr;Nötr
1974430167880839280;1974405438943961558;1;kesmaseker;Anon Kullanıcı 2;1;#kizkardesiniunutma;04 Ekim 2025 11:03;Pozitif;Empati
1974441602023395658;1974405438943961558;1;sudemmm66;Anon Kullanıcı 3;0;Peki okuldaki diğer kızlar değilde neden bu kızın kafası koptu oraya neden koşarak geldi;04 Ekim 2025 11:48;Negatif;Suçlama
1974695170307403836;1974405438943961558;1;YusufYl61492905;Anon Kullanıcı 4;0;Kendisi kaşındı o yüzden üzülmedim;05 Ekim 2025 04:36;Negatif;Nötr
1919689094461788190;null;0;muhendisyenn;Orijinal Yazar;2881;Ankara'da 21 yaşındaki Hatice Çınar, 50 yaşındaki takıntılı yan komşusu tarafından evinde silahla vurularak katledildi. Şahsın, Hatice Çınar'ın cansız bedeniyle 1 gün geçirdikten sonra intihar ettiği öğrenildi.;Tue, 06 May 2025 09:42:00 GMT;Nötr;Nötr
1919702257194430573;1919689094461788190;1;_1907esr;Anon Kullanıcı 1;21;Gerçekten yaşadığımız coğrafyada şeytana gerek yok insanoğlu yeterince kötü;Tue, 06 May 2025 10:34:19 GMT;Pozitif;Umutsuzluk
1919714326836871349;1919689094461788190;1;ZleyhaGney21318;Anon Kullanıcı 2;42;Her gün kadın öldürülüyor bu ülkede herkes neden görmezden geliyor devlet büyükleri nerdesiniz Allahın verdiği canı Allah alır bunlar kim yahu takıntılı bu kadar ucuz olmamalı insan hayatı kadınları koruyun çok bişey değil bu bukadarda zor olmamalı;Tue, 06 May 2025 11:22:16 GMT;Pozitif;Empati
1919730322813378898;1919689094461788190;1;yaseminoze65519;Anon Kullanıcı 3;34;Kart papaz adamlar kendinden 30yaş küçük kızlara sarkıyor artıkBu ne rezillik kendi kızlarına yapılsa iyimi Nasıl bir kötü dönemdir bu ya kızlar kendinizi koruyun.Göz yaşartıcı sprey alın yanınıza zaman çok kötü artık bu ülkenin kadınlarının çilesi ne zaman bitecek cezalar artsın;Tue, 06 May 2025 12:25:50 GMT;Pozitif;Empati
1919734533177463297;1919689094461788190;1;Bra12087217;Anon Kullanıcı 4;39;50 yaşındaki azıtmış köpek tek başına geberemedin de yanında gencecik kızı niye kurban ettin. Allah öbür tarafta boynundan almasın o yükü;Tue, 06 May 2025 12:42:34 GMT;Pozitif;Öfke
1919735506369171933;1919689094461788190;1;Ayce31154223;Anon Kullanıcı 5;241;Erkekler silah bıcak kezzap alabilsin ama kadınlar biber gazı alsa tasımak yasak ,ulke psikopat doldu;Tue, 06 May 2025 12:46:26 GMT;Pozitif;Suçlama
1919823334528692289;1919689094461788190;1;aydn928709;Anon Kullanıcı 6;1;Bu olayın öncesinde aralarında bi şeyler yaşanmış olma ihtimali de var aslında.. Tabi ki doğrusunu Allah bilir.. Hemcinslerimin bu kadar savunmasız olması beni çok üzüyor.. Allah rahmet eylesin..;Tue, 06 May 2025 18:35:26 GMT;Pozitif;Empati
1920024217048777144;1919823334528692289;2;aydn928709;Anon Kullanıcı 7;0;Bilemem doğrusunu Allah bilir...;Wed, 07 May 2025 07:53:40 GMT;Nötr;Nötr
1920025193767940467;1919823334528692289;2;MlkGun90;Anon Kullanıcı 8;14;Yaa var ya erkek cinsin nefret ettiriyorsunuz artık. Boşanmış karısını dün vurdu adam. Altta kim bilir ne yaptı da sinirlendirdi vurdu yazıyorsunuz. 50 yaşındaki sapık 21 yaşındaki kadını canından etmiş aralarında ilişki vardır diyorsunuz.Böyle diyenherkesin Allah belasını versin;Wed, 07 May 2025 07:57:33 GMT;Pozitif;Öfke
1920025985061142546;1920025193767940467;3;MlkGun90;Anon Kullanıcı 9;5;Net olun net. Biz andavalız, kadınları mal gibi görüyoruz onlara gücümüz yetiyor, hayvanlığımızı durduramıyoruz diyin kardeşim. Karşısında iri yarı tiplere kuzu olan insanlar kadın olunca aslan kesilip zorbalıyor.Gücünüz ancak sizden güçsüzlere.;Wed, 07 May 2025 08:00:41 GMT;Pozitif;Öfke
1920039523536240807;1920024217048777144;3;kirbymolasses;Anon Kullanıcı 10;4;Doğrusunu Allah biliyorsa ne saçmalıyorsun lavuk;Wed, 07 May 2025 08:54:29 GMT;Nötr;Nötr
1920042021206503934;1919689094461788190;1;timarsizsipahi;Anon Kullanıcı 11;0;Şu ahlaksızlığın önüne ne kanunla ne de cezayla geçemezsin. Kimsenin bir diğerinin hakkını savunmadığı toplumlarda dürüst, şerefli insanlar her türlü haksızlığa uğramaya devam eder. Maalesef.;Wed, 07 May 2025 09:04:25 GMT;Pozitif;Suçlama
1920044229365002360;1919689094461788190;1;AYK97564269;Anon Kullanıcı 12;0;İdam olmadıkça bu azmışlık kudurmuşluk devam edecek Allahım korusun belki sıra bizede gelecek içeri alınıp iyi halden şartlı tahliye ayağına serbestlik olduğu sürece bu böyle;Wed, 07 May 2025 09:13:11 GMT;Nötr;Suçlama
1920052594149413102;1920044229365002360;2;djcjgjjvkvyclvh;Anon Kullanıcı 13;0;İdam gelse bunları mı asacaklar sanıyosunuz;Wed, 07 May 2025 09:46:25 GMT;Nötr;Nötr
1715368547692515643;;0;@muhendisyenn;Kullanıcı 1;409;Ankara'da yaşayan Beyzanur Kaya, 3 yıldır birlikte olduğu sevgilisi Ege Rüştü Akoğlu tarafından tabancayla vurularak katledildi. #BeyzanurKaya;Fri, 20 Oct 2023 14:05:06 GMT;Nötr;Nötr
1715368680630923557;1715368547692515643;1;@_bariscoskun;Kullanıcı 2;27;Bunlar insan değil cidden insan olamamışlar.;Fri, 20 Oct 2023 14:05:38 GMT;Pozitif;İğrenme
1715368991273652700;1715368547692515643;1;@aa_ppppppppp;Kullanıcı 3;16;3 yıldır katiliyle beraber ah be;Fri, 20 Oct 2023 14:06:52 GMT;Pozitif;Empati
1715369692989112407;1715368991273652700;2;@neva_evas;Kullanıcı 4;0;20 yıl beraber olsaydı öldürmezdi evet;Fri, 20 Oct 2023 14:09:39 GMT;Nötr;Nötr
1715373896155755002;1715368991273652700;2;@laviniacicgi;Kullanıcı 5;0;Çok tuhaf bir gerçek malaesf ve de acı …;Fri, 20 Oct 2023 14:26:21 GMT;Pozitif;Empati
1715378831215690226;1715368547692515643;1;@esrasmin;Kullanıcı 6;13;Şuan erkeklerin %90 kız kesin bişey yapmıştır der!;Fri, 20 Oct 2023 14:45:58 GMT;Nötr;Nötr
1715384525436444758;1715368547692515643;1;@hobastar;Kullanıcı 7;2;Bir yerden bedava silah mı dağıtılıyor? Bu ülkenin hali nolacak? Herkes bıçaklı veya silahlı… bu halkın güven ve huzur kavramlarını nasıl geri getireceksiniz?;Fri, 20 Oct 2023 15:08:35 GMT;Pozitif;Suçlama
1715391901505863903;1715368547692515643;1;@nedemisaristo;Kullanıcı 8;6;Katilin yüzünü neden sansürlüyorlar yayınlayın görsün herkes bu pisliği;Fri, 20 Oct 2023 15:37:54 GMT;Pozitif;Öfke
1715393527914320193;1715368547692515643;1;@seloxx1;Kullanıcı 9;0;Lan adamı. Bulamayacaksınız katili şerefsizi neden taninmayacak şekilde buzluyonuz;Fri, 20 Oct 2023 15:44:22 GMT;Pozitif;Öfke
1715406758926045295;1715368547692515643;1;@ilksen_hatice;Kullanıcı 10;0;Allah senin belanı versin pislik;Fri, 20 Oct 2023 16:36:56 GMT;Pozitif;Öfke
1715448338277908777;1715368547692515643;1;@kibeleefe;Kullanıcı 11;0;Çok üzüldüm. Allah ailesine sabır versin 😢;Fri, 20 Oct 2023 19:22:09 GMT;Pozitif;Empati
1715453541580419086;1715368547692515643;1;@AdemAvc25438475;Kullanıcı 12;2;Çoğu kişi kızın suçu olduğunu düşünüyor ama öyle değil;Fri, 20 Oct 2023 19:42:50 GMT;Nötr;Nötr
1715461783542956097;1715368547692515643;1;@inna_aminova;Kullanıcı 13;7;#BeyzanurKaya Türkiye de bir kadın daha katledildi . Dindar bacılarımız bu kadınlar için bir kere bir bile bir reaksiyon gösterdi mi merak ediyorum ?;Fri, 20 Oct 2023 20:15:35 GMT;Nötr;Suçlama
1715472488279240847;1715368547692515643;1;@TCDPayidar;Kullanıcı 14;92;Kızın yüzünü gösterip, adamın yüzünü niye fluladınız;Fri, 20 Oct 2023 20:58:07 GMT;Pozitif;Suçlama
1715474026057891931;1715368547692515643;1;@ekimin_yedisi;Kullanıcı 15;4;3 yıldır mı? 3 yıldır anlayamamış mı herifin kriminal bir tip olduğunu?;Fri, 20 Oct 2023 21:04:14 GMT;Negatif;Suçlama
1715480351034720371;1715368547692515643;1;@diplomaliboyaci;Kullanıcı 16;1;Neden sürekli katledilen kadınları full HD , k*tillerini buzlu ekran veriyorsunuz !!!;Fri, 20 Oct 2023 21:29:22 GMT;Pozitif;Suçlama
1715484182908936357;1715474026057891931;2;@iasliis;Kullanıcı 17;5;Yine mi kadın suçlu;Fri, 20 Oct 2023 21:44:36 GMT;Nötr;Nötr
1715484828852699220;1715368547692515643;1;@Ebrralc;Kullanıcı 18;0;allahın belası seni;Fri, 20 Oct 2023 21:47:10 GMT;Pozitif;Öfke
1715485479645200563;1715368547692515643;1;@ecmelif_;Kullanıcı 19;0;Neden sansürlersiniz bunları ?;Fri, 20 Oct 2023 21:49:45 GMT;Pozitif;Nötr
